character_id,move_index,complete,faf,frames,grabs,hurtboxes,name,notes,type,value
01_mario,0,,19,19,,,Jab 1,,,MarioJab1
01_mario,1,,21,21,,,Jab 2,,,MarioJab2
01_mario,2,,33,33,,,Jab 3,,,MarioJab3
01_mario,3,,25,25,,,Forward Tilt,,,MarioFTilt
01_mario,4,,25,25,,,Forward Tilt (Up),,,MarioFTiltUp
01_mario,5,,25,25,,,Forward Tilt (Down),,,MarioFTiltDown
01_mario,6,,29,29,,,Up Tilt,,,MarioUTilt
01_mario,7,,27,27,,,Down Tilt,,,MarioDTilt
01_mario,8,,37,37,,,Dash Attack,,,MarioDashAttack
01_mario,9,,47,47,,,Forward Smash,,,MarioFSmash
01_mario,10,,47,47,,,Forward Smash (Up),,,MarioFSmashUp
01_mario,11,,47,47,,,Forward Smash (Down),,,MarioFSmashDown
01_mario,12,,39,39,,"[{'type': 'Intangible', 'bone': 'head', 'hp': 'N/A', 'frames': [9, 10, 11, 12], 'color': 'darkblue', 'notes': ''}]",Up Smash,,,MarioUSmash
01_mario,13,,43,43,,,Down Smash,,,MarioDSmash
01_mario,14,,45,45,,,Neutral Air,,,MarioNAir
01_mario,15,,59,59,,,Forward Air,,,MarioFAir
01_mario,16,,33,33,,,Back Air,,,MarioBAir
01_mario,17,,30,30,,,Up Air,,,MarioUAir
01_mario,18,,37,37,,,Down Air,,,MarioDAir
01_mario,19,,15,15,,,Down Air (Landing),,,MarioDAirLanding
01_mario,20,,34,34,"[{'id': '0', 'bone': 'top', 'size': '3.3', 'x': '0.0', 'y': '6.6', 'z': '4.0', 'x2': '0.0', 'y2': '6.6', 'z2': '8.7', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_g', 'frames': [6, 7], 'color': '#800080', 'notes': ''}, {'id': '1', 'bone': 'top', 'size': '1.65', 'x': '0.0', 'y': '6.6', 'z': '2.35', 'x2': '0.0', 'y2': '6.6', 'z2': '10.35', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_a', 'frames': [6, 7], 'color': '#400040', 'notes': ''}]",,Grab,,,MarioGrab
01_mario,21,,42,42,"[{'id': '0', 'bone': 'top', 'size': '2.6', 'x': '0.0', 'y': '6.6', 'z': '4.0', 'x2': '0.0', 'y2': '6.6', 'z2': '10.4', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_g', 'frames': [9, 10], 'color': '#800080', 'notes': ''}, {'id': '1', 'bone': 'top', 'size': '1.3', 'x': '0.0', 'y': '6.6', 'z': '2.7', 'x2': '0.0', 'y2': '6.6', 'z2': '11.7', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_a', 'frames': [9, 10], 'color': '#400040', 'notes': ''}]",,Dash Grab,,,MarioDashGrab
01_mario,22,,36,36,"[{'id': '0', 'bone': 'top', 'size': '3.3', 'x': '0.0', 'y': '6.6', 'z': '-4.0', 'x2': '0.0', 'y2': '6.6', 'z2': '-14.7', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_g', 'frames': [10, 11], 'color': '#800080', 'notes': ''}, {'id': '1', 'bone': 'top', 'size': '1.65', 'x': '0.0', 'y': '6.6', 'z': '-2.35', 'x2': '0.0', 'y2': '6.6', 'z2': '-16.35', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_a', 'frames': [10, 11], 'color': '#400040', 'notes': ''}]",,Pivot Grab,,,MarioPivotGrab
01_mario,23,,6,6,,,Pummel,,,MarioPummel
01_mario,24,,27,27,,"[{'type': 'Invincible', 'bone': 'all', 'hp': '', 'frames': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13], 'color': 'lightgreen', 'notes': ''}]",Forward Throw,,,MarioFThrow
01_mario,25,,59,59,,"[{'type': 'Invincible', 'bone': 'all', 'hp': '', 'frames': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44], 'color': 'lightgreen', 'notes': ''}]",Back Throw,,,MarioBThrow
01_mario,26,,39,39,,"[{'type': 'Invincible', 'bone': 'all', 'hp': '', 'frames': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'color': 'lightgreen', 'notes': ''}]",Up Throw,,,MarioUThrow
01_mario,27,,39,39,,"[{'type': 'Invincible', 'bone': 'all', 'hp': '', 'frames': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18], 'color': 'lightgreen', 'notes': ''}]",Down Throw,,,MarioDThrow
01_mario,28,,1,1,,,Fireball,,,MarioFireball
01_mario,29,,35,35,,,Cape,,,MarioCape
01_mario,30,,38,38,,"[{'type': 'Intangible', 'bone': 'all', 'hp': '', 'frames': [3, 4, 5, 6], 'color': 'darkblue', 'notes': ''}]",Super Jump Punch,,,MarioSuperJumpPunch
01_mario,31,,1,1,,,F.L.U.D.D.,,,MarioFLUDD
01_mario,32,,55,55,,"[{'type': 'Intangible', 'bone': 'all', 'hp': '', 'frames': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26], 'color': 'darkblue', 'notes': ''}]",Ledge Attack,,,MarioLedgeAttack
01_mario,33,,45,45,,"[{'type': 'Intangible', 'bone': 'all', 'hp': '', 'frames': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25], 'color': 'darkblue', 'notes': ''}]",Getup Attack (Up),,,MarioGetupAttackU
01_mario,34,,45,45,,"[{'type': 'Intangible', 'bone': 'all', 'hp': '', 'frames': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22], 'color': 'darkblue', 'notes': ''}]",Getup Attack (Down),,,MarioGetupAttackD
01_mario,35,,49,49,,"[{'type': 'Intangible', 'bone': 'all', 'hp': '', 'frames': [1, 2, 3, 4, 5, 6, 7], 'color': 'darkblue', 'notes': ''}]",Trip Attack,,,MarioTripAttack
02_donkey-kong,0,,24,24,,,Jab 1,,,DonkeyKongJab1
02_donkey-kong,1,,31,31,,,Jab 2,,,DonkeyKongJab2
02_donkey-kong,2,,34,34,,"[{'type': 'Intangible', 'bone': 'arml', 'hp': '', 'frames': [6, 7, 8, 9], 'color': 'darkblue', 'notes': ''}]",Forward Tilt,,,DonkeyKongFTilt
02_donkey-kong,3,,34,34,,"[{'type': 'Intangible', 'bone': 'arml', 'hp': '', 'frames': [6, 7, 8, 9], 'color': 'darkblue', 'notes': ''}]",Forward Tilt (Up),,,DonkeyKongFTiltUp
02_donkey-kong,4,,34,34,,"[{'type': 'Intangible', 'bone': 'arml', 'hp': '', 'frames': [6, 7, 8, 9], 'color': 'darkblue', 'notes': ''}]",Forward Tilt (Down),,,DonkeyKongFTiltDown
02_donkey-kong,5,,38,38,,"[{'type': 'Intangible', 'bone': 'armr', 'hp': '', 'frames': [5, 6, 7, 8, 9, 10, 11], 'color': 'darkblue', 'notes': ''}]",Up Tilt,,,DonkeyKongUTilt
02_donkey-kong,6,,24,24,,"[{'type': 'Intangible', 'bone': 'arml', 'hp': '', 'frames': [5, 6, 7], 'color': 'darkblue', 'notes': ''}, {'type': 'Intangible', 'bone': 'shoulderl', 'hp': '', 'frames': [5, 6, 7], 'color': 'darkblue', 'notes': ''}]",Down Tilt,,,DonkeyKongDTilt
02_donkey-kong,7,,34,34,,,Dash Attack,,,DonkeyKongDashAttack
02_donkey-kong,8,,54,54,,"[{'type': 'Intangible', 'bone': 'arml', 'hp': '', 'frames': [20, 21, 22, 23, 24, 25, 26], 'color': 'darkblue', 'notes': ''}, {'type': 'Intangible', 'bone': 'armr', 'hp': '', 'frames': [20, 21, 22, 23, 24, 25, 26], 'color': 'darkblue', 'notes': ''}, {'type': 'Intangible', 'bone': 'head', 'hp': '', 'frames': [20, 21, 22, 23, 24, 25, 26], 'color': 'darkblue', 'notes': ''}]",Forward Smash,,,DonkeyKongFSmash
02_donkey-kong,9,,49,49,,"[{'type': 'Intangible', 'bone': 'arml', 'hp': '', 'frames': [12, 13, 14, 15], 'color': 'darkblue', 'notes': ''}, {'type': 'Intangible', 'bone': 'armr', 'hp': '', 'frames': [12, 13, 14, 15], 'color': 'darkblue', 'notes': ''}, {'type': 'Intangible', 'bone': 'head', 'hp': '', 'frames': [12, 13, 14, 15], 'color': 'darkblue', 'notes': ''}]",Up Smash,,,DonkeyKongUSmash
02_donkey-kong,10,,55,55,,"[{'type': 'Intangible', 'bone': 'arml', 'hp': '', 'frames': [11, 12, 13, 14], 'color': 'darkblue', 'notes': ''}, {'type': 'Intangible', 'bone': 'armr', 'hp': '', 'frames': [11, 12, 13, 14], 'color': 'darkblue', 'notes': ''}]",Down Smash,,,DonkeyKongDSmash
02_donkey-kong,11,,38,38,,,Neutral Air,,,DonkeyKongNAir
02_donkey-kong,12,,55,55,,,Forward Air,,,DonkeyKongFAir
02_donkey-kong,13,,31,31,,,Back Air,,,DonkeyKongBAir
02_donkey-kong,14,,37,37,,"[{'type': 'Intangible', 'bone': 'head', 'hp': '', 'frames': [5, 6, 7, 8, 9, 10], 'color': 'darkblue', 'notes': ''}]",Up Air,,,DonkeyKongUAir
02_donkey-kong,15,,54,54,,,Down Air,,,DonkeyKongDAir
02_donkey-kong,16,,38,38,"[{'id': '0', 'bone': 'top', 'size': '5.8', 'x': '0.0', 'y': '7.0', 'z': '4.0', 'x2': '0.0', 'y2': '7.0', 'z2': '13.7', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_g', 'frames': [8, 9, 10], 'color': '#800080', 'notes': ''}, {'id': '1', 'bone': 'top', 'size': '2.9', 'x': '0.0', 'y': '7.0', 'z': '1.1', 'x2': '0.0', 'y2': '7.0', 'z2': '16.6', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_a', 'frames': [8, 9, 10], 'color': '#400040', 'notes': ''}]",,Grab,,,DonkeyKongGrab
02_donkey-kong,17,,46,46,"[{'id': '0', 'bone': 'top', 'size': '4.6', 'x': '0.0', 'y': '7.0', 'z': '4.0', 'x2': '0.0', 'y2': '7.0', 'z2': '15.9', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_g', 'frames': [11, 12, 13], 'color': '#800080', 'notes': ''}, {'id': '1', 'bone': 'top', 'size': '2.3', 'x': '0.0', 'y': '7.0', 'z': '1.7', 'x2': '0.0', 'y2': '7.0', 'z2': '18.200001', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_a', 'frames': [11, 12, 13], 'color': '#400040', 'notes': ''}]",,Dash Grab,,,DonkeyKongDashGrab
02_donkey-kong,18,,41,41,"[{'id': '0', 'bone': 'top', 'size': '5.8', 'x': '0.0', 'y': '7.0', 'z': '-4.0', 'x2': '0.0', 'y2': '7.0', 'z2': '-21.5', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_g', 'frames': [12, 13, 14], 'color': '#800080', 'notes': ''}, {'id': '1', 'bone': 'top', 'size': '2.9', 'x': '0.0', 'y': '7.0', 'z': '-1.1', 'x2': '0.0', 'y2': '7.0', 'z2': '-24.4', 'status': 'fighter_status_kind_capture_pulled', 'ground_or_air': 'collision_situation_mask_a', 'frames': [12, 13, 14], 'color': '#400040', 'notes': ''}]",,Pivot Grab,,,DonkeyKongPivotGrab
02_donkey-kong,19,,7,7,,,Pummel,,,DonkeyKongPummel
02_donkey-kong,20,,39,39,,"[{'type': 'Invincible', 'bone': 'all', 'hp': '', 'frames': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'color': 'lightgreen', 'notes': ''}]",Back Throw,,,DonkeyKongBThrow
02_donkey-kong,21,,43,43,,"[{'type': 'Invincible', 'bone': 'all', 'hp': '', 'frames': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14], 'color': 'lightgreen', 'notes': ''}]",Up Throw,,,DonkeyKongUThrow
02_donkey-kong,22,,54,54,,"[{'type': 'Invincible', 'bone': 'all', 'hp': '', 'frames': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], 'color': 'lightgreen', 'notes': ''}]",Down Throw,,,DonkeyKongDThrow
02_donkey-kong,23,,15,15,,"[{'type': 'Knockback Armor', 'bone': 'all', 'hp': '16 KB', 'frames': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15], 'color': 'lightgreen', 'notes': ''}]",Cargo,,,DonkeyKongCargo
02_donkey-kong,24,,45,45,,,Cargo Forward Throw,,,DonkeyKongCargoFThrow
02_donkey-kong,25,,42,42,,,Cargo Back Throw,,,DonkeyKongCargoBThrow
02_donkey-kong,26,,29,29,,,Cargo Up Throw,,,DonkeyKongCargoUThrow
02_donkey-kong,27,,44,44,,,Cargo Down Throw,,,DonkeyKongCargoDThrow
02_donkey-kong,28,,62,62,,"[{'type': 'Intangible', 'bone': 'arml', 'hp': '', 'frames': [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20], 'color': 'darkblue', 'notes': ''}]",Giant Punch (Ground),,,DonkeyKongGiantPunchG
